web-scraper-start-url,Name,Constellation,Right ascension,Declination,Apparent magnitude,Distance,Proper motion RA,Proper motion Dec,B-T magnitude,V-T magnitude,Proper names,HD,TYCHO-2 2000,USNO-A2.0,BSC,HIP
https://server6.sky-map.org/starview?object_type=1&object_id=248&object_name=HD+1,α Hya (Alphard),Hydra,09h27m35.20s,-08Â°39'31.0",1.98,54.348 parsecs,-14.4,33.3,3.879,2.14,,,TYC 5460-1592-1,USNO-A2 0750-06884210,,HIP 46390
https://server6.sky-map.org/starview?object_type=1&object_id=249&object_name=HD+1,α Ari (Hamal),Aries,02h07m10.40s,+23Â°27'45.0",2,20.21 parsecs,0,0,3.487,2.125,,,TYC 1758-2416-1,USNO-A2 1125-00681530,,HIP 9884
https://server6.sky-map.org/starview?object_type=1&object_id=250&object_name=HD+1,HD 143454,Corona Borealis,15h59m30.20s,+25Â°55'13.0",10.08,,-6.9,11.4,11.894,10.39,,,TYC 2037-1144-1,USNO-A2 1125-07459190,,HIP 78322
https://server6.sky-map.org/starview?object_type=1&object_id=251&object_name=HD+1,α UMi (Polaris),Ursa Minor,02h31m48.70s,+89Â°15'51.0",2.02,132.275 parsecs,0,0,2.708,2.038,,,TYC 4628-237-1,,,HIP 11767
https://server6.sky-map.org/starview?object_type=1&object_id=252&object_name=HD+1,σ Sgr (Nunki),Sagittarius,18h55m15.90s,-26Â°17'48.0",2.02,68.776 parsecs,,,,,,,,USNO-A2 0600-38098600,,
https://server6.sky-map.org/starview?object_type=1&object_id=253&object_name=HD+1,β Cet (Diphda),Cetus,00h43m35.40s,-17Â°59'12.0",2.04,29.377 parsecs,0,0,3.343,2.139,,,TYC 5847-2333-1,USNO-A2 0675-00280768,,HIP 3419
https://server6.sky-map.org/starview?object_type=1&object_id=254&object_name=HD+1,ζ Ori (Alnitak),Orion,05h40m45.50s,-01Â°56'34.0",2.05,250.627 parsecs,,,,,,,,USNO-A2 0825-01634390,,
https://server6.sky-map.org/starview?object_type=1&object_id=255&object_name=HD+1,α And (Alpheratz),Andromeda,00h08m23.30s,+29Â°05'26.0",2.06,29.762 parsecs,,,,,,,,USNO-A2 1125-00054801,,
https://server6.sky-map.org/starview?object_type=1&object_id=256&object_name=HD+1,β And (Mirach),Andromeda,01h09m43.90s,+35Â°37'14.0",2.06,61.125 parsecs,175,-112.5,4.155,2.244,,,TYC 2286-1329-1,USNO-A2 1200-00481656,,HIP 5447
https://server6.sky-map.org/starview?object_type=1&object_id=257&object_name=HD+1,κ Ori (Saiph),Orion,05h47m45.40s,-09Â°40'11.0",2.06,221.239 parsecs,,,,,,,,USNO-A2 0750-01578311,,
https://server6.sky-map.org/starview?object_type=1&object_id=258&object_name=HD+1,θ Cen (Menkent),Centaurus,14h06m41.00s,-36Â°22'12.0",2.06,18.685 parsecs,-519.7,-519.2,3.359,2.158,,,TYC 7293-2215-1,USNO-A2 0525-17007552,,HIP 68933
https://server6.sky-map.org/starview?object_type=1&object_id=259&object_name=HD+1,β UMi (Kochab),Ursa Minor,14h50m42.30s,+74Â°09'20.0",2.08,38.775 parsecs,0,0,3.998,2.215,,,TYC 4416-1799-1,USNO-A2 1575-03475521,,HIP 72607
https://server6.sky-map.org/starview?object_type=1&object_id=260&object_name=HD+1,α Oph (Rasalhague),Ophiucus,17h34m56.10s,+12Â°33'36.0",2.08,14.318 parsecs,,,,,,,,USNO-A2 0975-09401973,,
https://server6.sky-map.org/starview?object_type=1&object_id=261&object_name=HD+1,β Gru (Tiaki),Grus,22h42m40.10s,-46Â°53'05.0",2.1,52.165 parsecs,134.5,-5.7,4.131,2.287,,,TYC 8446-1644-1,USNO-A2 0375-40001206,,HIP 112122
https://server6.sky-map.org/starview?object_type=1&object_id=262&object_name=HD+1,β Per (Algol),Perseus,03h08m10.10s,+40Â°57'20.0",2.12,28.458 parsecs,,,,,,,,USNO-A2 1275-02034539,,
