id,x,y,z,diameter,Right ascension,Declination,distance,Constellation,name
303,-31.66699980655406,-36.753524312965055,-7.351747943720034,0.1,15h17m00.40s,"-09Â°22'59.0""",49.068,Libra,β Lib (Zubeneschamali)
304,0.051364660001992114,42.29427718366905,32.11767314396662,0.1,05h59m43.30s,"+37Â°12'45.0""",53.107,Auriga,θ Aur (Mahasim)
305,-74.04125953805952,-135.57129828562486,-50.77130460376059,0.1,16h05m26.20s,"-19Â°48'20.0""",162.602,Scorpius,βα Sco (Acrab)
306,14.984293151598715,8.190069486611304,6.489494938084955,0.1,01h54m38.40s,"+20Â°48'29.0""",18.268,Aries,β Ari (Sheratan)
307,6.051549116313052,67.9681646579981,-45.89805568121712,0.1,05h39m38.90s,"-34Â°04'27.0""",82.237,Columba,α Col (Phact)
308,-39.10959789911823,-5.9124432553379185,-16.46743428472377,0.1,12h34m23.20s,"-23Â°23'48.0""",42.845,Corvus,β Crv (Kraz)
309,-12.454464989029914,-18.511217830229956,2.5126520409330158,0.1,15h44m16.10s,"+06Â°25'32.0""",22.452,Serpens,α Ser (Unukalhai)
310,14.082562805632982,5.534259891164927,26.457944615605452,0.1,01h25m49.00s,"+60Â°14'07.0""",30.479,Cassiopeia,δ Cas (Alinina)
311,-9.442694060906735,-5.163567292934329,3.579673963289884,0.1,13h54m41.10s,"+18Â°23'52.0""",11.342,Bootes,η Boo (Muphrid)
312,-83.72096677567727,-82.65501243825386,-109.19566308685543,0.1,14h58m31.90s,"-43Â°08'02.0""",160.514,Lupus,β Lup (Kekouan)
313,35.673967808602534,126.47626595636983,85.88204915187106,0.1,04h56m59.60s,"+33Â°09'58.0""",156.986,Auriga,ι Aur (Kabdhilinan)
314,-22.288319913008966,7.374393834892351,-26.610248157867105,0.1,10h46m46.20s,"-49Â°25'12.0""",35.486,Vela,μ Vel
315,-33.34972011984083,-5.458735842336406,-87.41638411609047,0.1,12h37m11.00s,"-69Â°08'08.0""",93.721,Musca,α Mus
316,-16.216109053759343,-126.42604581803393,-95.02150827561606,0.1,17h30m45.80s,"-37Â°17'45.0""",158.983,Scorpius,υ Sco (Lesath)
317,-88.62806858558798,253.2827799851478,-201.49472380631587,0.1,07h17m08.60s,"-37Â°05'51.0""",335.57,Puppis,π Pup
319,7.5579148476357085,-82.27189212057768,-44.24748050517586,0.1,18h20m59.70s,"-29Â°49'41.0""",93.721,Sagittarius,δ Sgr (Kaus Media)
320,62.085071163511515,-124.17041960208871,26.014147755844903,0.1,19h46m15.60s,"+10Â°36'48.0""",141.243,Aquila,γ Aql (Tarazed)
321,-23.198822873809736,-46.70557887091123,-2.099615108226216,0.1,16h14m20.70s,"-03Â°41'40.0""",52.192,Ophiucus,δ Oph (Yed Prior)
322,-5.217969467049557,-11.718604540018841,23.639837526421122,0.1,16h23m59.50s,"+61Â°30'51.0""",26.896,Draco,η Dra (Athebyne)
323,-13.772797311016035,-5.0535337554266135,-10.382705804000864,0.1,13h20m35.80s,"-36Â°42'44.0""",17.973,Centaurus,ι Cen
324,-16.719059154153815,-15.438487485510622,-6.507513054895662,0.1,14h50m52.70s,"-16Â°02'30.0""",23.669,Libra,αβ Lib (Zubenelgenubi)
325,-56.48277623912929,19.736651281378684,-120.55964782844094,0.1,10h42m57.40s,"-64Â°23'40.0""",134.59,Carina,θ Car
326,43.379942747096266,403.14150766538813,-28.99322990866103,0.1,05h35m26.00s,"-05Â°54'36.0""",406.504,Orion,ι Ori (Hatsya)
327,-16.09661169089558,-38.966413754942366,16.59860810884944,0.1,16h30m13.20s,"+21Â°29'23.0""",45.31,Hercules,β Her (Kornephoros)
328,-1.8054092181058463,-24.99305335958188,2.0017056027976308,0.1,17h43m28.40s,"+04Â°34'02.0""",25.138,Ophiucus,β Oph (Celbalrai)
329,-77.74228334588734,-106.16465187613456,-113.7142719327127,0.1,15h35m08.50s,"-41Â°10'01.0""",173.913,Lupus,γ Lup (Kekouan-yi)
330,6.122678605233212,26.44126784713999,-2.333290023297692,0.1,05h07m51.00s,"-05Â°05'11.0""",27.241,Eridanus,β Eri (Cursa)
331,-8.721895824173034,-67.23143614315262,87.7206404009995,0.1,17h30m26.00s,"+52Â°18'05.0""",110.865,Draco,β Dra (Rastaban)
332,1.702994696372001,0.19216271780147784,-7.275885345029565,0.1,00h25m45.10s,"-77Â°15'15.0""",7.475,Hydrus,β Hyi (Proxima Hydri)
333,-60.242940286698236,-3.9868108625202896,-93.86701195712901,0.1,12h15m08.70s,"-58Â°44'56.0""",111.607,Crux,δ Cru (Imai)
334,-9.303378691347682,14.954743716682685,-7.729782745570387,0.1,08h07m32.60s,"-24Â°18'15.0""",19.234,Puppis,ρ Pup (Tureis)
335,-3.0962976273690495,-8.657938821467326,5.6574422106175986,0.1,16h41m17.20s,"+31Â°36'11.0""",10.796,Hercules,ζ Her (Ruticulus)
336,2.62347191246484,-21.389610813668853,-9.856457444959045,0.1,18h27m58.20s,"-25Â°25'18.0""",23.697,Sagittarius,λ Sgr (Kaus Borealis)
337,-41.827685294470626,-108.7992707917685,-61.414598607221684,0.1,16h35m53.00s,"-28Â°12'58.0""",131.752,Scorpius,τ Sco (Paikauhale)
338,98.41489468902952,5.690364869928355,26.75311712668851,0.1,00h13m14.20s,"+15Â°11'01.0""",102.145,Pegasus,γ Peg (Algenib)
339,-29.650634980049016,-8.247468251317578,5.959548365723881,0.1,13h02m10.60s,"+10Â°57'33.0""",31.348,Virgo,ε Vir (Vindemiatrix)
340,6.364031990260437,45.63637384130125,-16.08262713128476,0.1,05h28m14.70s,"-20Â°45'34.0""",48.804,Lepus,β Lep (Nihal)
341,133.50894639633015,218.14801590797063,159.09511750068765,0.1,03h54m07.90s,"+31Â°53'01.0""",301.205,Perseus,ζ Per (Atik)
342,-2.938668388807496,-4.849532146375372,-10.925097119105871,0.1,15h55m08.50s,"-63Â°25'50.0""",12.309,Triangulum Australe,β TrA (Betria)
343,-16.20175051368406,-106.18877449151921,-150.42733162986576,0.1,17h25m18.00s,"-55Â°31'48.0""",184.843,Ara,β Ara (Karnot Mizbeach)
344,9.372368414515265,5.3442786961468745,-19.015471714383192,0.1,01h58m46.20s,"-61Â°34'11.0""",21.863,Hydrus,α Hyi (Head of Hydrus)
345,27.728533287190658,-13.151404934726116,-52.603239358275474,0.1,22h18m30.10s,"-60Â°15'35.0""",60.901,Tucana,α Tuc
346,56.242007069061614,86.18050746961343,46.04415677502984,0.1,03h47m29.10s,"+24Â°06'18.0""",112.74,Taurus,η Tau (Alcyone)
347,16.358629243369624,-33.181142669071164,37.163838128652934,0.1,19h44m58.50s,"+45Â°07'51.0""",52.438,Cygnus,δ Cyg (Fawaris)
348,9.51150583590811,-6.233643103735219,-3.233617075155974,0.1,21h47m02.40s,"-16Â°07'38.0""",11.823,Capricornus,δ Cap (Deneb Algiedi)
349,-6.566588494969679,65.32722489768906,27.21405761191233,0.1,06h22m57.60s,"+22Â°30'49.0""",71.073,Gemini,μ Gem (Tejat)
350,-5.3832762096598,12.29258077935973,8.349300571510561,0.1,07h34m36.00s,"+31Â°53'19.0""",15.805,Gemini,α Gem (Castor B)
351,64.21812648658474,108.8613783801635,106.0935569048558,0.1,03h57m51.20s,"+40Â°00'37.0""",165.017,Perseus,ε Per
352,-13.963193789595916,-16.48086226259543,-51.69018168158773,0.1,15h18m54.60s,"-68Â°40'46.0""",56.022,Triangulum Australe,γ TrA (Gatria)
353,-63.90575675416097,-109.41821517820367,-61.49001923803836,0.1,15h58m51.10s,"-26Â°06'51.0""",140.845,Scorpius,π Sco (Vrischika)
354,-85.71276755571955,-186.32793673445448,-93.06729874247088,0.1,16h21m11.30s,"-25Â°35'34.0""",225.225,Scorpius,σ Sco (Al Niyat)
355,37.767635278949655,-120.21636427638629,-48.310906580227176,0.1,19h09m45.80s,"-21Â°01'25.0""",134.953,Sagittarius,π Sgr (Albaldah)
356,-19.169467323629615,47.95742813359825,7.524724137073422,0.1,07h27m09.00s,"+08Â°17'22.0""",52.192,Canis Minor,β CMi (Gomeisa)
357,-25.718043785396514,-6.415605704544705,20.94709725227439,0.1,12h56m01.70s,"+38Â°19'06.0""",33.784,Canes Venatici,αβ CVn (Cor Caroli)
358,149.17295324891526,-112.86125708081089,-14.488110923652126,0.1,21h31m33.50s,"-05Â°34'16.0""",187.617,Aquarius,β Aqr (Sadalsuud)
359,32.36201943338134,33.74581933037214,63.20122492416844,0.1,03h04m47.80s,"+53Â°30'23.0""",78.616,Perseus,γ Per (Gamma Persei)
360,-7.8834107742012245,35.6063300653928,-42.52652793068713,0.1,06h49m56.20s,"-50Â°36'53.0""",56.022,Puppis,τ Pup
361,53.740131207755155,-18.76645549192523,33.158193889939945,0.1,22h43m00.10s,"+30Â°13'17.0""",65.876,Pegasus,η Peg (Matar)
362,33.587587028039735,57.03747944264464,-14.664008505990017,0.1,03h58m01.80s,"-13Â°30'31.0""",67.797,Eridanus,γ Eri (Zaurac)
363,-25.748728591671995,-3.3744554858137756,-7.194222340647696,0.1,12h29m51.90s,"-16Â°30'56.0""",26.947,Corvus,δ Crv (Algorab)
364,-6.0778580398256405,-49.219046584229126,-55.31856407199313,0.1,17h31m50.50s,"-49Â°52'34.0""",74.294,Ara,α Ara (Choo)
365,204.26777160824076,-111.15852096348843,1.2977146887114028,0.1,22h05m47.00s,"-00Â°19'11.0""",232.558,Aquarius,α Aqr (Sadalmelik)
366,-47.77881429287005,246.19257207734609,117.6428256321148,0.1,06h43m55.90s,"+25Â°07'52.0""",277.008,Gemini,ε Gem (Mebsuta)
367,-58.63158771437612,38.86199732935468,30.98639349238063,0.1,09h45m51.10s,"+23Â°46'27.0""",76.864,Leo,ε Leo (Ras Elased Australis)
368,112.96265627762246,436.5453404413005,432.77315538939416,0.1,05h01m58.10s,"+43Â°49'24.0""",625,Auriga,ε Aur
